Time (s),PWM throttle signal (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
23.7301853,1930,8530,1.268136991,0.214570695,15.17739223,19.12513384,290.2696578,191.6673139,66.03077818,6.616344567,4.368823805
31.10741715,1872,8247,1.172058359,0.199568409,15.15747894,17.26857491,261.7480605,172.3520316,65.84653626,6.800374491,4.477811055
38.49956235,1814,7947,1.075465297,0.183985929,15.17932552,15.26426237,231.7012074,153.1145426,66.08275561,7.023926526,4.6416042
45.90661005,1757,7670,0.996929622,0.169661735,15.21238575,13.5517725,206.1547908,136.272394,66.10197775,7.315712246,4.835830482
53.30114975,1699,7376,0.917998666,0.155483148,15.2492685,11.89170697,181.3398326,120.097191,66.22769488,7.64379798,5.062311203
60.46731795,1641,7079,0.845175367,0.143019789,15.28616057,10.47110241,160.0629528,106.0221635,66.23779062,7.971685716,5.280268493
68.18608715,1584,6797,0.77493446,0.130881302,15.31874681,9.184680462,140.6977946,93.15871619,66.21192356,8.318432156,5.507793941
76.33137195,1526,6466,0.712215262,0.119811047,15.34842256,8.01436574,123.0078719,81.12620873,65.95204639,8.779102002,5.789997425
84.5730196,1469,6188,0.651873404,0.109035399,15.37617855,6.989627466,107.4737599,70.65557576,65.74216424,9.22607165,6.065419177
92.8501344,1411,5821,0.579233607,0.096097252,15.40700857,5.87337368,90.49111863,58.57835681,64.73381884,9.888184628,6.400999524
101.2658449,1353,5499,0.514267245,0.082195894,15.43272851,4.923453126,75.98231542,47.33282882,62.29453335,10.86491676,6.768249194
109.5807998,1296,5115,0.454162527,0.070049191,15.45749434,4.070729218,62.92327382,37.52125715,59.63017318,12.10413939,7.217719282
117.7920529,1238,4840,0.409029822,0.061749422,15.47676123,3.423594027,52.98614729,31.29730046,59.06694875,13.06917262,7.719561492
126.0941551,1180,4551,0.374564275,0.05531802,15.49178582,2.913963151,45.14249303,26.36344015,58.4004967,14.20771619,8.297376823
134.4776243,1123,4250,0.329724741,0.047907873,15.50637874,2.435192831,37.76102233,21.32182805,56.46517689,15.46418722,8.731880669
142.9433786,1065,3924,0.283375902,0.040181123,15.52058361,1.999669286,31.03603435,16.51123999,53.20022465,17.16260574,9.13054481
151.2562027,1008,3621,0.233816454,0.032764097,15.53546663,1.61821165,25.13967309,12.42382558,49.41920102,18.82000454,9.300695873
159.5330019,950,3219,0.194070774,0.025390084,15.55019927,1.25526177,19.51957067,8.558816703,43.84736145,22.67495388,9.942368985
167.6277232,892,2756,0.154776111,0.018630898,15.56232842,0.940479485,14.63605062,5.377019739,36.73818764,28.78473917,10.57499149
176.0113471,835,2216,0.117148937,0.012167586,15.5722802,0.677050388,10.54321836,2.823597586,26.78117336,41.48924672,11.11130709
